表示順で書いてください。月日を降順で並び替えれば日付順で表示されます。改行は<br>でできます。,,,,
活動種別,年,月日,開始時間,学校名・実施内容
会社説明会,2016年,6月27日,13:30,KCS福岡専門学校様　採用試験同時実施
会社説明会,2016年,6月27日,10:30,中央情報経理専門学校様　高崎校
会社説明会,2016年,6月23日,10:30,東北コンピューター専門学校様　採用試験同時実施
会社説明会,2016年,6月20日,13:30,静岡産業技術専門学校様　採用試験同時実施
会社説明会,2016年,6月14日,16:30,I.D.Aインターナショナルアカデミー様<br>国際電子ビジネス専門学校様
会社説明会,2016年,6月8日,15:30,船橋情報ビジネス専門学校様
会社説明会,2016年,5月25日,14:00,神戸電子専門学校様　採用試験同時実施
会社説明会,2016年,5月13日,14:00,東北電子専門学校様
会社説明会,2016年,4月28日,13:00,広島情報専門学校様　採用試験同時実施
会社説明会,2016年,4月27日,14:00,共愛学園国際大学様
会社説明会,2016年,4月25日,15:30,和歌山コンピュータビジネス専門学校様　採用試験同時実施
会社説明会,2016年,4月25日,13:00,北海道情報専門学校様　採用試験同時実施
会社説明会,2016年,4月21日,15:30,新潟高度情報専門学校様　採用試験同時実施
会社説明会,2016年,4月20日,13:30,麻生情報ビジネス専門学校様　北九州校　採用試験同時実施
会社説明会,2016年,4月13日,9:30,北見情報専門学校様　採用試験同時実施
会社説明会,2016年,4月6日,13:30,姫路情報システム専門学校様　採用試験同時実施
会社説明会,2016年,4月1日,13:30,大阪情報専門学校様　採用試験同時実施
会社説明会,2016年,3月31日,13:30,HAL大阪様　採用試験同時実施
会社説明会,2016年,3月30日,13:30,宮崎情報ビジネス専門学校様
会社説明会,2016年,3月25日,13:00,新潟情報専門学校様　弊社担当：花井　採用試験同時実施
会社説明会,2016年,3月22日,13:30,KCS大分情報専門学校様　弊社担当：大中　採用試験同時実施
会社説明会,2016年,3月16日,10:00,名古屋情報メディア専門学校様　弊社担当：田上、岩崎
会社説明会,2016年,3月15日,13:30,佐賀大学様　弊社担当：真島
会社説明会,2016年,3月11日,13:00,北海道科学大学様　弊社担当：花井
会社説明会,2016年,3月7日,9:00,福岡カレッジオブビジネス様　弊社担当：花井
会社説明会,2016年,3月4日,9:00,東北電子専門学校様　弊社担当：花井
会社説明会,2016年,2月15日,13:30,盛岡情報ビジネス専門学校様　弊社担当：花井
