表示順で書いてください。月日を降順で並び替えれば日付順で表示されます。改行は<br>でできます。,,,,,,,
活動種別,年,月日,開始,学校名,,,
説明会・選考会,2018年,5月31日,13:30,専門学校HAL大阪様,,,
説明会・選考会,2018年,5月30日,TBD,大阪情報専門学校様,,,
説明会・選考会,2018年,5月30日,TBD,"広島情報ビジネス専門学校様
（広島会計学院電子専門学校）",,,
説明会・選考会,2018年,5月23日,13:30,秋田コアビジネスカレッジ様,,,
説明会・選考会,2018年,5月17日,13:30,神戸電子専門学校様,,,
説明会・選考会,2018年,5月16日,13:00,中央情報大学校様,,,
説明会・選考会,2018年,5月15日,13:30,河原電子ビジネス専門学校様,,,
説明会・選考会,2018年,5月11日,14:00,KCS北九州情報専門学校様,,,
説明会・選考会,2018年,5月9日,13:00,専門学校ビーマックス様,,,
説明会・選考会,2018年,5月1日,13:00,国際電子ビジネス専門学校様,,,
説明会・選考会,2018年,4月27日,14:00,東北電子専門学校様,,,
説明会・選考会,2018年,4月27日,13:30,盛岡情報ビジネス専門学校様,,,
説明会・選考会,2018年,4月26日,13:30,和歌山コンピュータビジネス専門学校様,,,
説明会・選考会,2018年,4月26日,13:30,九州国際情報ビジネス専門学校様,,,
説明会・選考会,2018年,4月23日,13:00,新潟情報専門学校様,,,
説明会・選考会,2018年,4月23日,13:30,佐賀コンピュータ専門学校様,,,
説明会・選考会,2018年,4月21日,10:00,HSU様,,,
説明会・選考会,2018年,4月20日,13:00,松山ビジネスカレッジ様,,,
説明会・選考会,2018年,4月20日,13:00,HSU様,,,
説明会・選考会,2018年,4月18日,11:40,いわきコンピュータ・カレッジ様,,,
説明会・選考会,2018年,4月17日,10:00,東北電子専門学校様,,,
説明会・選考会,2018年,3月26日,13:30,新潟情報専門学校様,,,
説明会・選考会,2018年,3月19日,14:00,河原ITビジネス専門学校様,,,
説明会・選考会,2018年,3月13日,14:00,北見情報ビジネス専門学校様,,,
説明会・選考会,2018年,2月19日,14:00,熊本電子ビジネス専門学校様,,,
説明会・選考会,2018年,2月13日,14:00,麻生情報ビジネス専門学校 北九州校様,,,
