表示順で書いてください。月日を降順で並び替えれば日付順で表示されます。改行は<br>でできます。,,,,
活動種別,年,月日,開始,学校名
説明会・選考会,2019年,7月1日,15:15,大阪情報専門学校 様
説明会・選考会,2019年,6月13日,13:30,新潟情報専門学校 様
説明会・選考会,2019年,5月20日,13:30,KCS北九州情報専門学校 様
説明会・選考会,2019年,5月15日,10:00,広島情報専門学校 様
合同説明会,2019年,5月14日,13:00,静岡産業技術専門学校 様
説明会・選考会,2019年,5月13日,9:30,北海道情報専門学校 様
説明会・選考会,2019年,5月10日,15:15,大阪情報専門学校 様
説明会・選考会,2019年,5月9日,13:30,KCS福岡情報専門学校 様
説明会・選考会,2019年,5月8日,14:00,麻生情報ビジネス専門学校 北九州校 様
説明会・選考会,2019年,4月26日,13:00,広島コンピュータ専門学校 様・広島情報ビジネス専門学校 様
説明会・選考会,2019年,4月25日,10:00,名古屋情報メディア専門学校 様
説明会,2019年,4月23日,10:00,神戸電子専門学校 様
説明会・選考会,2019年,3月27日,13:00,S.K.K情報ビジネス専門学校 様
説明会,2019年,3月26日,13:00,佐賀コンピュータ専門学校 様
説明会・選考会,2019年,3月22日,13:30,河原学園様ITビジネス専門学校 様・河原電子ビジネス専門学校 様
説明会,2019年,3月22日,13:00,KCS鹿児島情報専門学校 様
説明会・選考会,2019年,3月18日,13:30,盛岡情報ビジネス専門学校 様
説明会,2019年,3月18日,13:30,秋田情報ビジネス専門学校 様
説明会・選考会,2019年,3月15日,15:00,北見情報ビジネス専門学校 様
合同説明会,2019年,3月14日,14:00,新潟国際情報大学 様
合同説明会,2019年,3月13日,13:30,専門学校HAL 様
説明会,2019年,3月8日,14:00,東北電子専門学校 様
説明会,2019年,3月7日,14:00,麻生情報ビジネス専門学校 様
説明会,2019年,3月6日,13:30,専門学校HAL 様
合同説明会,2019年,3月6日,13:30,佐賀大学 様
学内企業説明会,2019年,2月28日,13:15,熊本電子ビジネス専門学校 様
就職作品プレゼン,2019年,2月22日,11:00,専門学校HAL 様
説明会・選考会,2019年,2月22日,13:30,秋田コアビジネスカレッジ 様
就職作品プレゼン,2019年,2月21日,11:00,専門学校HAL 様
個別説明会,2019年,2月7日,15:30,外国ビジネス専門学校 様
合同企業研究会,2019年,1月25日,14:00,河原学園 様
